"pid","training","shj","trial","finish1","finish2","finish3","start1","start2","start3","startcat","finishcat","accuracy","switch_count","start","finish"
4528,"classify",2,2,0,0,0,0,1,1,"Tannet","Lape",1,2,4,1
4528,"classify",2,3,1,1,1,1,0,1,"Tannet","Lape",1,1,6,8
4528,"classify",2,4,1,0,1,1,1,1,"Lape","Tannet",1,1,8,6
4528,"classify",2,5,1,1,0,1,0,0,"Tannet","Lape",1,1,5,7
4528,"classify",2,6,1,0,0,0,0,0,"Lape","Tannet",1,1,1,5
4528,"classify",2,7,1,1,0,0,1,0,"Tannet","Lape",1,1,3,7
4528,"classify",2,8,0,1,1,0,0,1,"Lape","Tannet",1,1,2,4
4228,"classify",3,1,1,1,0,1,0,1,"Lape","Tannet",1,2,6,7
4228,"classify",3,2,0,0,0,0,1,1,"Tannet","Lape",1,2,4,1
4228,"classify",3,3,1,0,1,1,1,1,"Tannet","Lape",1,1,8,6
4228,"classify",3,4,1,0,1,1,1,0,"Tannet","Lape",1,2,7,6
4228,"classify",3,5,0,1,0,1,0,0,"Tannet","Lape",1,2,5,3
4228,"classify",3,6,1,1,0,0,0,0,"Lape","Tannet",1,2,1,7
4228,"classify",3,7,1,1,0,0,1,0,"Lape","Tannet",1,1,3,7
4228,"classify",3,8,1,0,0,0,0,1,"Lape","Tannet",1,2,2,5
4247,"classify",3,1,1,0,1,0,0,1,"Lape","Lape",0,1,2,6
4247,"classify",3,2,0,0,1,0,1,1,"Tannet","Lape",1,1,4,2
4247,"classify",3,3,1,1,0,0,1,0,"Lape","Tannet",1,1,3,7
4247,"classify",3,4,1,0,1,1,0,0,"Tannet","Lape",1,1,5,6
4247,"classify",3,5,1,0,1,1,1,1,"Tannet","Lape",1,1,8,6
4247,"classify",3,6,0,1,0,1,1,0,"Tannet","Lape",1,1,7,3
4247,"classify",3,7,0,1,0,0,0,0,"Lape","Lape",0,1,1,3
4247,"classify",3,8,1,1,1,1,0,1,"Lape","Tannet",1,1,6,8
4272,"classify",3,1,0,0,0,1,0,0,"Tannet","Lape",1,1,5,1
4272,"classify",3,2,1,1,1,1,0,1,"Lape","Tannet",1,1,6,8
4272,"classify",3,3,0,0,0,1,1,1,"Tannet","Lape",1,3,8,1
4272,"classify",3,4,1,1,0,0,0,0,"Lape","Tannet",1,2,1,7
4272,"classify",3,5,1,1,0,0,1,0,"Lape","Tannet",1,1,3,7
4272,"classify",3,6,0,0,0,1,1,0,"Tannet","Lape",1,2,7,1
4272,"classify",3,7,1,1,1,0,0,1,"Lape","Tannet",1,2,2,8
4272,"classify",3,8,0,0,1,0,1,1,"Tannet","Lape",1,1,4,2
4308,"classify",3,1,0,1,0,0,1,1,"Tannet","Lape",1,1,4,3
4308,"classify",3,2,0,0,0,1,0,0,"Tannet","Lape",1,1,5,1
4308,"classify",3,3,1,1,1,1,0,1,"Lape","Tannet",1,1,6,8
4308,"classify",3,4,0,1,0,1,1,0,"Tannet","Lape",1,1,7,3
4308,"classify",3,5,1,0,0,0,0,0,"Lape","Tannet",1,1,1,5
4308,"classify",3,6,0,1,0,1,1,1,"Tannet","Lape",1,2,8,3
4308,"classify",3,7,1,0,0,0,0,1,"Lape","Tannet",1,2,2,5
4308,"classify",3,8,1,1,0,0,1,0,"Lape","Tannet",1,1,3,7
4371,"classify",3,1,0,0,1,0,1,1,"Tannet","Lape",1,1,4,2
4371,"classify",3,2,0,1,1,0,1,0,"Lape","Tannet",1,1,3,4
4371,"classify",3,3,1,0,0,0,0,0,"Lape","Tannet",1,1,1,5
4371,"classify",3,4,0,0,0,1,0,0,"Tannet","Lape",1,1,5,1
4371,"classify",3,5,1,1,1,1,0,1,"Lape","Tannet",1,1,6,8
4371,"classify",3,6,1,0,1,1,1,1,"Tannet","Lape",1,1,8,6
4371,"classify",3,7,0,0,0,1,1,0,"Tannet","Lape",1,2,7,1
4371,"classify",3,8,0,1,1,0,0,1,"Lape","Tannet",1,1,2,4
4404,"classify",3,1,1,0,1,0,0,1,"Lape","Lape",0,1,2,6
4404,"classify",3,2,0,1,0,0,1,1,"Tannet","Lape",1,1,4,3
4404,"classify",3,3,1,1,0,0,1,0,"Lape","Tannet",1,1,3,7
4404,"classify",3,4,0,0,1,0,0,0,"Lape","Lape",0,1,1,2
4404,"classify",3,5,1,1,1,1,0,1,"Lape","Tannet",1,1,6,8
4404,"classify",3,6,0,0,0,1,0,0,"Tannet","Lape",1,1,5,1
4404,"classify",3,7,1,1,0,1,1,1,"Tannet","Tannet",0,1,8,7
4404,"classify",3,8,0,1,0,1,1,0,"Tannet","Lape",1,1,7,3
4420,"classify",3,1,1,1,1,1,1,0,"Tannet","Tannet",0,1,7,8
4420,"classify",3,2,0,1,0,1,1,1,"Tannet","Lape",1,2,8,3
4420,"classify",3,3,0,1,0,0,0,0,"Lape","Lape",0,1,1,3
4420,"classify",3,4,1,1,0,0,0,1,"Lape","Tannet",1,3,2,7
4420,"classify",3,5,0,0,0,0,1,0,"Lape","Lape",0,1,3,1
4420,"classify",3,6,0,1,0,1,0,0,"Tannet","Lape",1,2,5,3
4420,"classify",3,7,0,0,0,1,0,1,"Lape","Lape",0,2,6,1
4420,"classify",3,8,1,1,1,0,1,1,"Tannet","Tannet",0,1,4,8
4461,"classify",3,1,1,1,1,0,0,0,"Lape","Tannet",1,3,1,8
4461,"classify",3,2,0,0,0,1,0,0,"Tannet","Lape",1,1,5,1
4461,"classify",3,3,1,1,1,0,0,1,"Lape","Tannet",1,2,2,8
4461,"classify",3,4,0,0,0,1,1,0,"Tannet","Lape",1,2,7,1
4461,"classify",3,5,1,1,1,1,0,1,"Lape","Tannet",1,1,6,8
4461,"classify",3,6,0,0,1,0,1,1,"Tannet","Lape",1,1,4,2
4461,"classify",3,7,1,1,0,0,1,0,"Lape","Tannet",1,1,3,7
4461,"classify",3,8,0,0,1,1,1,1,"Tannet","Lape",1,2,8,2
4469,"classify",3,1,1,1,0,0,0,1,"Lape","Tannet",1,3,2,7
4469,"classify",3,2,1,1,0,0,1,0,"Lape","Tannet",1,1,3,7
4469,"classify",3,3,1,1,0,1,0,1,"Lape","Tannet",1,2,6,7
4469,"classify",3,4,1,1,0,0,0,0,"Lape","Tannet",1,2,1,7
4469,"classify",3,5,0,0,1,1,1,0,"Tannet","Lape",1,3,7,2
4469,"classify",3,6,0,1,1,1,1,1,"Tannet","Tannet",0,1,8,4
4469,"classify",3,7,0,0,1,0,1,1,"Tannet","Lape",1,1,4,2
4469,"classify",3,8,0,0,1,1,0,0,"Tannet","Lape",1,2,5,2
4478,"classify",3,1,0,1,0,1,1,0,"Tannet","Lape",1,1,7,3
4478,"classify",3,2,1,0,0,0,0,0,"Lape","Tannet",1,1,1,5
4478,"classify",3,3,1,0,1,1,0,0,"Tannet","Lape",1,1,5,6
4478,"classify",3,4,1,1,1,1,0,1,"Lape","Tannet",1,1,6,8
4478,"classify",3,5,0,1,1,0,1,0,"Lape","Tannet",1,1,3,4
4478,"classify",3,6,1,0,1,1,1,1,"Tannet","Lape",1,1,8,6
4478,"classify",3,7,0,1,0,0,1,1,"Tannet","Lape",1,1,4,3
4478,"classify",3,8,0,1,1,0,0,1,"Lape","Tannet",1,1,2,4
4509,"classify",3,1,1,0,0,0,0,1,"Lape","Tannet",1,2,2,5
4509,"classify",3,2,0,0,1,1,1,1,"Tannet","Lape",1,2,8,2
4509,"classify",3,3,1,0,0,1,1,0,"Tannet","Tannet",0,1,7,5
4509,"classify",3,4,1,1,0,1,0,1,"Lape","Tannet",1,2,6,7
4509,"classify",3,5,0,0,1,1,0,0,"Tannet","Lape",1,2,5,2
4509,"classify",3,6,0,0,1,0,1,1,"Tannet","Lape",1,1,4,2
4509,"classify",3,7,1,1,0,0,1,0,"Lape","Tannet",1,1,3,7
4509,"classify",3,8,1,0,0,0,0,0,"Lape","Tannet",1,1,1,5
4253,"classify",4,1,0,1,1,1,1,0,"Tannet","Tannet",0,2,7,4
4253,"classify",4,2,1,1,1,0,0,0,"Lape","Tannet",1,3,1,8
4253,"classify",4,3,1,0,1,1,0,0,"Lape","Tannet",1,1,5,6
4253,"classify",4,4,0,0,1,0,1,1,"Tannet","Lape",1,1,4,2
4253,"classify",4,5,0,1,1,1,1,1,"Tannet","Tannet",0,1,8,4
4253,"classify",4,6,0,0,0,0,0,1,"Lape","Lape",0,1,2,1
4253,"classify",4,7,1,1,0,0,1,0,"Lape","Tannet",1,1,3,7
