"pid","shj","block","trial","finish1","finish2","finish3","start1","start2","start3","startcat","finishcat","accuracy","attempt_num","switch_count","start","finish"
4236,2,2,4,1,0,1,0,0,"0","Lape","Tannet",1,1,2,1,6
4236,2,2,5,1,0,0,0,0,"1","Lape","Tannet",1,1,2,2,5
4236,2,2,6,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4236,2,2,7,1,1,0,1,0,"1","Tannet","Lape",1,1,2,6,7
4236,2,2,8,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
4236,2,3,1,1,0,1,0,0,"1","Lape","Tannet",1,1,1,2,6
4236,2,3,2,0,1,0,1,0,"0","Tannet","Tannet",0,1,2,5,3
4236,2,3,2,1,1,0,1,0,"0","Tannet","Lape",1,2,1,5,7
4236,2,3,3,1,0,1,0,0,"0","Lape","Tannet",1,1,2,1,6
4236,2,3,4,0,1,0,1,1,"1","Lape","Tannet",1,1,2,8,3
4236,2,3,5,0,1,1,1,1,"0","Lape","Tannet",1,1,2,7,4
4236,2,3,6,1,1,1,1,0,"1","Tannet","Lape",1,1,1,6,8
4236,2,3,7,0,0,0,0,1,"0","Tannet","Lape",1,1,1,3,1
4236,2,3,8,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4236,2,4,1,1,0,1,0,0,"0","Lape","Tannet",1,1,2,1,6
4236,2,4,2,0,0,0,0,1,"0","Tannet","Lape",1,1,1,3,1
4236,2,4,3,0,1,1,1,1,"0","Lape","Tannet",1,1,2,7,4
4236,2,4,4,1,1,1,1,0,"1","Tannet","Lape",1,1,1,6,8
4236,2,4,5,0,0,1,1,1,"1","Lape","Lape",0,1,2,8,2
4236,2,4,5,0,1,0,1,1,"1","Lape","Tannet",1,2,2,8,3
4236,2,4,6,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4236,2,4,7,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
4236,2,4,8,1,0,0,0,0,"1","Lape","Tannet",1,1,2,2,5
4236,2,5,1,1,0,0,0,0,"1","Lape","Tannet",1,1,2,2,5
4236,2,5,2,1,1,0,0,0,"0","Lape","Lape",0,1,2,1,7
4236,2,5,2,1,0,1,0,0,"0","Lape","Tannet",1,2,2,1,6
4236,2,5,3,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
4236,2,5,4,1,0,1,1,1,"0","Lape","Tannet",1,1,2,7,6
4236,2,5,5,0,1,0,1,1,"1","Lape","Tannet",1,1,2,8,3
4236,2,5,6,0,0,0,0,1,"0","Tannet","Lape",1,1,1,3,1
4236,2,5,7,1,1,1,1,0,"1","Tannet","Lape",1,1,1,6,8
4236,2,5,8,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4236,2,6,1,1,1,1,1,0,"1","Tannet","Lape",1,1,1,6,8
4236,2,6,2,0,1,0,1,1,"1","Lape","Tannet",1,1,2,8,3
4236,2,6,3,1,0,1,0,0,"0","Lape","Tannet",1,1,2,1,6
4236,2,6,4,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4236,2,6,5,0,1,1,1,1,"0","Lape","Tannet",1,1,2,7,4
4236,2,6,6,1,1,1,0,0,"1","Lape","Lape",0,1,2,2,8
4236,2,6,6,1,0,0,0,0,"1","Lape","Tannet",1,2,2,2,5
4236,2,6,7,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
4236,2,6,8,0,0,0,0,1,"0","Tannet","Lape",1,1,1,3,1
4236,2,7,1,1,1,1,1,0,"1","Tannet","Lape",1,1,1,6,8
4236,2,7,2,0,1,0,1,1,"1","Lape","Tannet",1,1,2,8,3
4236,2,7,3,0,0,0,0,1,"0","Tannet","Lape",1,1,1,3,1
4236,2,7,4,1,0,0,0,0,"1","Lape","Tannet",1,1,2,2,5
4236,2,7,5,1,0,1,0,0,"0","Lape","Tannet",1,1,2,1,6
4236,2,7,6,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
4236,2,7,7,0,1,1,1,1,"0","Lape","Tannet",1,1,2,7,4
4236,2,7,8,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4236,2,8,1,0,0,1,0,1,"1","Tannet","Lape",1,1,1,4,2
4236,2,8,2,1,1,1,1,0,"1","Tannet","Lape",1,1,1,6,8
4236,2,8,3,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
4236,2,8,4,1,0,0,0,0,"1","Lape","Tannet",1,1,2,2,5
4236,2,8,5,0,0,0,0,1,"0","Tannet","Lape",1,1,1,3,1
4236,2,8,6,0,1,0,1,1,"1","Lape","Tannet",1,1,2,8,3
4236,2,8,7,1,1,0,0,0,"0","Lape","Lape",0,1,2,1,7
4236,2,8,7,1,0,1,0,0,"0","Lape","Tannet",1,2,2,1,6
4236,2,8,8,0,1,1,1,1,"0","Lape","Tannet",1,1,2,7,4
4236,2,9,1,1,1,1,1,0,"1","Tannet","Lape",1,1,1,6,8
4236,2,9,2,0,1,0,1,1,"1","Lape","Tannet",1,1,2,8,3
4236,2,9,3,1,0,0,0,0,"1","Lape","Tannet",1,1,2,2,5
4236,2,9,4,0,1,1,1,1,"0","Lape","Tannet",1,1,2,7,4
4236,2,9,5,0,0,1,0,1,"0","Tannet","Lape",1,1,2,3,2
4236,2,9,6,1,0,1,0,0,"0","Lape","Tannet",1,1,2,1,6
4236,2,9,7,0,0,0,0,1,"1","Tannet","Lape",1,1,2,4,1
4236,2,9,8,0,1,0,1,0,"0","Tannet","Tannet",0,1,2,5,3
4236,2,9,8,1,1,1,1,0,"0","Tannet","Lape",1,2,2,5,8
4236,2,10,1,0,1,0,1,1,"0","Lape","Tannet",1,1,1,7,3
4236,2,10,2,1,1,0,1,0,"0","Tannet","Lape",1,1,1,5,7
4236,2,10,3,0,1,1,1,1,"1","Lape","Tannet",1,1,1,8,4
